name,address,city,state,zip,lat,lng
Brown County / Nashville KOA Holiday,2248 State Road 46 E,Nashville-9250,Indiana,47448,39.17953,-86.235511
Crawfordsville KOA Journey,1600 Lafayette Road,Crawfordsville,Indiana,47933,40.038913,-86.896849
Elkhart Co. / Middlebury KOA Holiday,52867 State Road 13,Middlebury,Indiana,46540,41.680015,-85.698192
Batesville KOA Journey,7234 E State Rd 46,Batesville,Indiana,47006,39.291996,-85.215884
Angola / Hogback Lake KOA Holiday,5251 West US 20,Angola,Indiana,46703,41.649589,-85.00655
Topeka / Capital City KOA Journey,1949 SW 49th,Topeka,Kansas,66609,38.978236,-95.660737
Salina KOA Holiday,1109 West Diamond Drive,Salina,Kansas,67401,38.831829,-97.654574
Shreveport North / Caddo Lake Area KOA,7781 Highway 1 North,Shreveport,Louisiana,71107,32.595618,-93.859525
Dodge City KOA Journey,701 Park Street,Dodge City,Kansas,67801,37.723603,-100.057186
Goodland KOA Journey,1114 East US Highway 24,Goodland,Kansas,67735,39.344787,-101.753217
Shreveport / Bossier City KOA Journey,6510 West 70th Street,Shreveport,Louisiana,71129,32.38606,-93.913664
New Orleans KOA Holiday,11129 Jefferson Highway,River Ridge,Louisiana,70123,29.949939,-90.205559
